GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,SEASON
Players,203932,Aaron Gordon,Aaron,1610612743,DEN,26.0,32,20,12,0.625,127.145,14,25,0.56,4,9,0.444,12,15,0.8,8,16,24,6,2,1,1,2,13,8,44,30,85.8,3,0,82.0,51,26,365,98,23,81,111,95,75,119,68,67,71,139,25,52,36,88,138,139,106,392,462,101,86,39,80,80,28,82,1,2021-22
Players,1628988,Aaron Holiday,Aaron,1610612756,PHX,25.0,8,5,3,0.625,7.64,1,2,0.5,1,2,0.5,0,0,0.0,0,2,2,2,1,0,0,0,4,0,3,6,7.4,0,0,8.0,293,247,139,98,360,299,335,116,166,245,37,305,316,305,290,275,309,183,187,247,199,1,255,344,318,147,332,206,28,316,2,2021-22
Players,1630174,Aaron Nesmith,Aaron,1610612738,BOS,22.0,3,1,2,0.333,9.316666666666666,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,1,0,0,3,0,3,-5,6.0,0,0,6.0,383,375,100,378,348,299,364,1,166,276,1,305,316,305,290,380,406,307,275,139,199,1,209,344,318,305,353,206,28,339,1,2021-22
Players,1630598,Aaron Wiggins,Aaron,1610612760,OKC,23.0,20,7,13,0.35,40.55833333333333,5,9,0.556,1,3,0.333,4,7,0.571,3,6,9,2,0,0,0,0,5,4,15,-13,28.8,0,0,27.0,171,211,380,373,210,175,218,96,166,216,118,151,137,254,102,158,154,183,275,247,199,1,286,159,185,378,206,206,28,202,1,2021-22
Players,1627846,Abdel Nader,Abdel,1610612756,PHX,28.0,1,1,0,1.0,0.0216666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2,0.0,0,0,0.0,438,375,1,1,490,364,419,364,252,333,252,305,316,305,290,380,406,307,275,247,199,1,1,344,382,250,438,206,28,439,1,2021-22
Players,1629678,Admiral Schofield,Admiral,1610612753,ORL,25.0,2,1,1,0.5,3.6466666666666665,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1,0,-15,0.0,0,0,0.0,408,375,38,206,417,364,419,364,252,333,252,305,316,305,290,380,406,307,275,247,199,1,168,271,382,393,438,206,28,439,1,2021-22
Players,201143,Al Horford,Al,1610612738,BOS,36.0,22,8,14,0.364,68.62833333333333,6,16,0.375,3,7,0.429,0,0,0.0,1,12,13,4,0,0,3,0,10,0,15,-36,45.6,4,0,41.0,152,200,401,364,143,156,143,241,98,137,75,305,316,305,207,83,117,124,275,247,33,1,403,344,185,477,153,67,28,163,1,2021-22
Players,202692,Alec Burks,Alec,1610612752,NYK,30.0,41,15,26,0.366,113.76833333333332,13,43,0.302,7,20,0.35,8,10,0.8,1,13,14,15,4,2,2,2,15,12,41,-110,88.3,1,0,85.0,2,68,495,363,49,88,52,300,34,37,115,102,112,139,207,73,103,23,75,79,54,392,475,59,88,496,75,133,28,76,1,2021-22
Players,1630197,Aleksej Pokusevski,Aleksej,1610612760,OKC,20.0,7,1,6,0.143,21.205,2,6,0.333,0,4,0.0,3,3,1.0,0,2,2,5,2,0,0,0,0,1,7,-8,14.9,2,0,14.0,305,375,239,440,284,256,258,267,252,193,252,174,209,1,290,275,309,104,138,247,199,1,1,271,256,342,272,96,28,272,1,2021-22
Players,1627936,Alex Caruso,Alex,1610612741,CHI,28.0,19,10,9,0.526,58.95166666666667,0,6,0.0,0,4,0.0,3,4,0.75,3,8,11,7,2,3,0,0,10,3,3,14,33.7,1,0,27.0,184,156,298,199,164,364,258,364,252,193,252,174,182,173,102,135,134,71,138,44,199,1,403,185,318,84,190,133,28,202,1,2021-22
Players,203458,Alex Len,Alex,1610612758,SAC,29.0,6,3,3,0.5,17.033333333333335,2,2,1.0,1,1,1.0,0,0,0.0,3,0,3,0,0,0,1,0,4,0,5,-4,11.6,0,0,11.0,326,304,139,206,300,256,335,1,166,276,1,305,316,305,102,380,277,307,275,247,106,1,255,344,288,290,290,206,28,289,1,2021-22
