SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,AVAILABLE_FLAG,SEASON
2021-22,1610612752,NYK,New York Knicks,0022101226,2022-04-10T00:00:00,NYK vs. TOR,W,48.0,40,87,0.46,15,43,0.349,10,12,0.833,10,38,48,32,17.0,6,5,2,17,17,105,11.0,1,1,1,1,4,20,32,27,25,13,42,72,77,17,51,22,31,2,67,47,29,8,12,65,45,18,1,2021-22
2021-22,1610612752,NYK,New York Knicks,0022101204,2022-04-08T00:00:00,NYK @ WAS,W,48.0,41,88,0.466,16,39,0.41,16,20,0.8,10,32,42,27,10.0,13,3,5,19,19,114,22.0,1,1,1,1,4,17,27,22,13,29,20,52,58,29,51,53,55,8,8,1,59,42,24,42,19,7,1,2021-22
2021-22,1610612752,NYK,New York Knicks,0022101191,2022-04-06T00:00:00,NYK vs. BKN,L,48.0,32,83,0.386,13,38,0.342,21,36,0.583,10,32,42,22,11.0,4,7,6,19,26,98,-12.0,1,38,38,38,4,70,50,70,34,32,48,25,3,73,51,53,55,36,18,69,14,59,24,6,65,63,1,2021-22
2021-22,1610612752,NYK,New York Knicks,0022101171,2022-04-03T00:00:00,NYK @ ORL,W,48.0,45,93,0.484,15,44,0.341,13,16,0.813,13,43,56,29,10.0,9,7,2,22,12,118,30.0,1,1,1,1,4,3,8,13,25,10,49,63,69,25,29,3,4,5,8,12,14,8,54,80,9,1,1,2021-22
2021-22,1610612752,NYK,New York Knicks,0022101162,2022-04-02T00:00:00,NYK vs. CLE,L,48.0,31,77,0.403,13,30,0.433,26,34,0.765,6,29,35,19,11.0,6,4,3,19,24,101,-18.0,1,38,38,38,4,72,79,63,34,69,13,5,11,44,75,68,79,58,18,47,41,17,24,17,58,79,1,2021-22
2021-22,1610612752,NYK,New York Knicks,0022101140,2022-03-30T00:00:00,NYK vs. CHA,L,48.0,40,85,0.471,16,44,0.364,18,26,0.692,11,32,43,23,14.0,5,5,3,19,21,114,-11.0,1,38,38,38,4,20,39,18,13,10,36,42,31,61,38,53,54,26,44,60,29,17,24,34,19,61,1,2021-22
2021-22,1610612752,NYK,New York Knicks,0022101126,2022-03-28T00:00:00,NYK vs. CHI,W,48.0,38,89,0.427,12,35,0.343,21,35,0.6,13,33,46,19,6.0,4,4,3,22,24,109,5.0,1,1,1,1,4,39,25,51,48,49,47,25,8,72,29,49,40,58,1,69,41,17,54,17,31,31,1,2021-22
2021-22,1610612752,NYK,New York Knicks,0022101115,2022-03-27T00:00:00,NYK @ DET,W,48.0,34,85,0.4,13,41,0.317,23,29,0.793,13,38,51,19,14.0,8,8,5,16,21,104,2.0,1,1,1,1,4,67,39,64,34,19,59,16,21,33,29,22,21,58,44,20,9,42,10,34,48,35,1,2021-22
2021-22,1610612752,NYK,New York Knicks,0022101103,2022-03-25T00:00:00,NYK @ MIA,W,48.0,36,82,0.439,17,50,0.34,22,28,0.786,17,25,42,23,11.0,8,2,3,24,25,111,8.0,1,1,1,1,4,51,59,39,9,2,51,19,23,36,5,77,55,26,18,20,70,17,68,12,25,23,1,2021-22
2021-22,1610612752,NYK,New York Knicks,0022101084,2022-03-23T00:00:00,NYK @ CHA,W,48.0,43,83,0.518,20,45,0.444,15,17,0.882,6,34,40,30,9.0,5,3,4,17,18,121,15.0,1,1,1,1,4,8,50,2,2,8,7,57,65,9,75,40,65,4,3,60,59,32,12,51,6,10,1,2021-22
2021-22,1610612752,NYK,New York Knicks,0022101081,2022-03-22T00:00:00,NYK vs. ATL,L,48.0,42,86,0.488,13,34,0.382,14,26,0.538,14,27,41,20,14.0,12,4,5,23,18,111,-6.0,1,38,38,38,4,10,35,9,34,52,27,60,31,76,18,74,61,50,44,2,41,42,61,51,25,48,1,2021-22
2021-22,1610612752,NYK,New York Knicks,0022101067,2022-03-20T00:00:00,NYK vs. UTA,L,48.0,31,83,0.373,16,40,0.4,15,21,0.714,10,27,37,20,11.0,7,2,11,19,17,93,-15.0,1,38,38,38,4,72,50,75,13,22,22,57,52,55,51,74,74,50,18,34,70,80,24,65,75,69,1,2021-22
2021-22,1610612752,NYK,New York Knicks,0022101050,2022-03-18T00:00:00,NYK vs. WAS,W,48.0,31,90,0.344,10,33,0.303,28,36,0.778,19,41,60,18,13.0,9,3,6,20,27,100,3.0,1,1,1,1,4,72,18,82,67,58,65,3,3,37,3,8,1,68,36,12,59,59,36,3,60,33,1,2021-22
2021-22,1610612752,NYK,New York Knicks,0022101037,2022-03-16T00:00:00,NYK vs. POR,W,48.0,40,80,0.5,16,38,0.421,32,39,0.821,9,38,47,31,11.0,9,8,3,14,31,128,30.0,1,1,1,1,4,20,70,6,13,32,17,1,1,22,59,22,36,3,18,12,9,17,5,1,3,1,1,2021-22
2021-22,1610612752,NYK,New York Knicks,0022101012,2022-03-13T00:00:00,NYK @ BKN,L,48.0,39,83,0.47,11,29,0.379,18,21,0.857,11,29,40,27,17.0,8,5,3,21,19,107,-3.0,1,38,38,38,4,29,50,19,58,71,29,42,52,11,38,68,65,8,67,20,29,17,44,42,39,42,1,2021-22
2021-22,1610612752,NYK,New York Knicks,0022101000,2022-03-11T00:00:00,NYK @ MEM,L,48.0,38,90,0.422,10,25,0.4,28,37,0.757,15,39,54,23,16.0,8,6,16,31,27,114,-4.0,1,38,38,38,4,39,18,54,67,81,22,3,2,45,11,16,12,26,63,20,21,82,81,3,19,44,1,2021-22
2021-22,1610612752,NYK,New York Knicks,0022100988,2022-03-09T00:00:00,NYK @ DAL,W,48.0,36,84,0.429,9,34,0.265,26,33,0.788,14,41,55,20,13.0,3,3,4,25,24,107,30.0,1,1,1,1,4,51,46,47,70,52,73,5,13,35,18,8,8,50,36,77,59,32,71,17,39,1,1,2021-22
