SEASON,GAME_DATE,GAME_NUMBER,MATCHUP,HOME_AWAY,OPP_ABBR,WL,RESULT_LABEL,PTS,PTS_DIFF,MARGIN,IS_WIN,IS_CLOSE,IS_RIVALRY,IS_STAR_MOMENT,IS_BLOWOUT_WIN,ACTIVATION_SCORE,AWARENESS_EVENT,ACTIVATION_EVENT,ACTIVATIONS_LAST_7D,ENGAGEMENT_EVENT,FAN_STAGE,MONTH,ISO_YEAR,ISO_WEEK
2021-22,2021-10-20,1,NYK vs. BOS,HOME,BOS,W,Win,138,4.0,4.0,1,1,1,1,0,6,1,1,1.0,0,Activated,Oct 2021,2021,42
2021-22,2021-10-22,2,NYK @ ORL,AWAY,ORL,W,Win,121,25.0,25.0,1,0,0,0,1,2,1,0,1.0,0,Aware,Oct 2021,2021,42
2021-22,2021-10-24,3,NYK vs. ORL,HOME,ORL,L,Loss,104,-6.0,6.0,0,0,0,0,0,0,1,0,1.0,0,Aware,Oct 2021,2021,42
2021-22,2021-10-26,4,NYK vs. PHI,HOME,PHI,W,Win,112,13.0,13.0,1,0,1,0,0,2,1,0,1.0,0,Aware,Oct 2021,2021,43
2021-22,2021-10-28,5,NYK @ CHI,AWAY,CHI,W,Win,104,1.0,1.0,1,1,0,0,0,4,1,1,1.0,0,Activated,Oct 2021,2021,43
2021-22,2021-10-30,6,NYK @ NOP,AWAY,NOP,W,Win,123,6.0,6.0,1,0,0,0,0,1,1,0,1.0,0,Aware,Oct 2021,2021,43
2021-22,2021-11-01,7,NYK vs. TOR,HOME,TOR,L,Loss,104,-9.0,9.0,0,0,0,0,0,0,1,0,1.0,0,Aware,Nov 2021,2021,44
2021-22,2021-11-03,8,NYK @ IND,AWAY,IND,L,Loss,98,-13.0,13.0,0,0,0,0,0,0,1,0,1.0,0,Aware,Nov 2021,2021,44
2021-22,2021-11-05,9,NYK @ MIL,AWAY,MIL,W,Win,113,15.0,15.0,1,0,0,0,1,2,1,0,0.0,0,Aware,Nov 2021,2021,44
2021-22,2021-11-07,10,NYK vs. CLE,HOME,CLE,L,Loss,109,-17.0,17.0,0,0,0,0,0,0,1,0,0.0,0,Aware,Nov 2021,2021,44
2021-22,2021-11-08,11,NYK @ PHI,AWAY,PHI,W,Win,103,7.0,7.0,1,0,1,0,0,2,1,0,0.0,0,Aware,Nov 2021,2021,45
2021-22,2021-11-10,12,NYK vs. MIL,HOME,MIL,L,Loss,100,-12.0,12.0,0,0,0,0,0,0,1,0,0.0,0,Aware,Nov 2021,2021,45
2021-22,2021-11-12,13,NYK @ CHA,AWAY,CHA,L,Loss,96,-8.0,8.0,0,0,0,0,0,0,1,0,0.0,0,Aware,Nov 2021,2021,45
2021-22,2021-11-15,14,NYK vs. IND,HOME,IND,W,Win,92,8.0,8.0,1,0,0,0,0,1,1,0,0.0,0,Aware,Nov 2021,2021,46
2021-22,2021-11-17,15,NYK vs. ORL,HOME,ORL,L,Loss,98,-6.0,6.0,0,0,0,0,0,0,1,0,0.0,0,Aware,Nov 2021,2021,46
2021-22,2021-11-20,16,NYK vs. HOU,HOME,HOU,W,Win,106,7.0,7.0,1,0,0,0,0,1,1,0,0.0,0,Aware,Nov 2021,2021,46
2021-22,2021-11-21,17,NYK @ CHI,AWAY,CHI,L,Loss,103,-6.0,6.0,0,0,0,0,0,0,1,0,0.0,0,Aware,Nov 2021,2021,46
2021-22,2021-11-23,18,NYK vs. LAL,HOME,LAL,W,Win,106,6.0,6.0,1,0,1,0,0,2,1,0,0.0,0,Aware,Nov 2021,2021,47
2021-22,2021-11-26,19,NYK vs. PHX,HOME,PHX,L,Loss,97,-21.0,21.0,0,0,0,0,0,0,1,0,0.0,0,Aware,Nov 2021,2021,47
2021-22,2021-11-27,20,NYK @ ATL,AWAY,ATL,W,Win,99,9.0,9.0,1,0,0,0,0,1,1,0,0.0,0,Aware,Nov 2021,2021,47
2021-22,2021-11-30,21,NYK @ BKN,AWAY,BKN,L,Loss,110,-2.0,2.0,0,1,1,0,0,4,1,1,1.0,0,Activated,Nov 2021,2021,48
2021-22,2021-12-02,22,NYK vs. CHI,HOME,CHI,L,Loss,115,-4.0,4.0,0,1,0,0,0,3,1,0,1.0,0,Aware,Dec 2021,2021,48
2021-22,2021-12-04,23,NYK vs. DEN,HOME,DEN,L,Loss,99,-14.0,14.0,0,0,0,0,0,0,1,0,1.0,0,Aware,Dec 2021,2021,48
2021-22,2021-12-07,24,NYK @ SAS,AWAY,SAS,W,Win,121,12.0,12.0,1,0,0,0,0,1,1,0,0.0,0,Aware,Dec 2021,2021,49
2021-22,2021-12-08,25,NYK @ IND,AWAY,IND,L,Loss,102,-20.0,20.0,0,0,0,0,0,0,1,0,0.0,0,Aware,Dec 2021,2021,49
2021-22,2021-12-10,26,NYK @ TOR,AWAY,TOR,L,Loss,87,-3.0,3.0,0,1,0,0,0,3,1,0,0.0,0,Aware,Dec 2021,2021,49
2021-22,2021-12-12,27,NYK vs. MIL,HOME,MIL,L,Loss,97,-15.0,15.0,0,0,0,0,0,0,1,0,0.0,0,Aware,Dec 2021,2021,49
2021-22,2021-12-14,28,NYK vs. GSW,HOME,GSW,L,Loss,96,-9.0,9.0,0,0,0,0,0,0,1,0,0.0,0,Aware,Dec 2021,2021,50
2021-22,2021-12-16,29,NYK @ HOU,AWAY,HOU,W,Win,116,13.0,13.0,1,0,0,0,0,1,1,0,0.0,0,Aware,Dec 2021,2021,50
2021-22,2021-12-18,30,NYK @ BOS,AWAY,BOS,L,Loss,107,-7.0,7.0,0,0,1,0,0,1,1,0,0.0,0,Aware,Dec 2021,2021,50
2021-22,2021-12-21,31,NYK vs. DET,HOME,DET,W,Win,105,14.0,14.0,1,0,0,0,0,1,1,0,0.0,0,Aware,Dec 2021,2021,51
2021-22,2021-12-23,32,NYK vs. WAS,HOME,WAS,L,Loss,117,-7.0,7.0,0,0,0,0,0,0,1,0,0.0,0,Aware,Dec 2021,2021,51
2021-22,2021-12-25,33,NYK vs. ATL,HOME,ATL,W,Win,101,14.0,14.0,1,0,0,0,0,1,1,0,0.0,0,Aware,Dec 2021,2021,51
2021-22,2021-12-28,34,NYK @ MIN,AWAY,MIN,W,Win,96,8.0,8.0,1,0,0,0,0,1,1,0,0.0,0,Aware,Dec 2021,2021,52
2021-22,2021-12-29,35,NYK @ DET,AWAY,DET,W,Win,94,9.0,9.0,1,0,0,0,0,1,1,0,0.0,0,Aware,Dec 2021,2021,52
2021-22,2021-12-31,36,NYK @ OKC,AWAY,OKC,L,Loss,80,-15.0,15.0,0,0,0,0,0,0,1,0,0.0,0,Aware,Dec 2021,2021,52
2021-22,2022-01-02,37,NYK @ TOR,AWAY,TOR,L,Loss,105,-15.0,15.0,0,0,0,0,0,0,1,0,0.0,0,Aware,Jan 2022,2021,52
2021-22,2022-01-04,38,NYK vs. IND,HOME,IND,W,Win,104,10.0,10.0,1,0,0,0,0,1,1,0,0.0,0,Aware,Jan 2022,2022,1
2021-22,2022-01-06,39,NYK vs. BOS,HOME,BOS,W,Win,108,3.0,3.0,1,1,1,0,0,5,1,1,1.0,0,Activated,Jan 2022,2022,1
2021-22,2022-01-08,40,NYK @ BOS,AWAY,BOS,L,Loss,75,-24.0,24.0,0,0,1,0,0,1,1,0,1.0,0,Aware,Jan 2022,2022,1
2021-22,2022-01-10,41,NYK vs. SAS,HOME,SAS,W,Win,111,15.0,15.0,1,0,0,0,1,2,1,0,1.0,0,Aware,Jan 2022,2022,2
2021-22,2022-01-12,42,NYK vs. DAL,HOME,DAL,W,Win,108,23.0,23.0,1,0,0,0,1,2,1,0,1.0,0,Aware,Jan 2022,2022,2
2021-22,2022-01-15,43,NYK @ ATL,AWAY,ATL,W,Win,117,9.0,9.0,1,0,0,0,0,1,1,0,0.0,0,Aware,Jan 2022,2022,2
2021-22,2022-01-17,44,NYK vs. CHA,HOME,CHA,L,Loss,87,-10.0,10.0,0,0,0,0,0,0,1,0,0.0,0,Aware,Jan 2022,2022,3
2021-22,2022-01-18,45,NYK vs. MIN,HOME,MIN,L,Loss,110,-2.0,2.0,0,1,0,0,0,3,1,0,0.0,0,Aware,Jan 2022,2022,3
2021-22,2022-01-20,46,NYK vs. NOP,HOME,NOP,L,Loss,91,-11.0,11.0,0,0,0,0,0,0,1,0,0.0,0,Aware,Jan 2022,2022,3
2021-22,2022-01-23,47,NYK vs. LAC,HOME,LAC,W,Win,110,8.0,8.0,1,0,0,0,0,1,1,0,0.0,0,Aware,Jan 2022,2022,3
2021-22,2022-01-24,48,NYK @ CLE,AWAY,CLE,L,Loss,93,-2.0,2.0,0,1,0,0,0,3,1,0,0.0,0,Aware,Jan 2022,2022,4
2021-22,2022-01-26,49,NYK @ MIA,AWAY,MIA,L,Loss,96,-14.0,14.0,0,0,1,0,0,1,1,0,0.0,0,Aware,Jan 2022,2022,4
2021-22,2022-01-28,50,NYK @ MIL,AWAY,MIL,L,Loss,108,-15.0,15.0,0,0,0,0,0,0,1,0,0.0,0,Aware,Jan 2022,2022,4
2021-22,2022-01-31,51,NYK vs. SAC,HOME,SAC,W,Win,116,20.0,20.0,1,0,0,0,1,2,1,0,0.0,0,Aware,Jan 2022,2022,5
2021-22,2022-02-02,52,NYK vs. MEM,HOME,MEM,L,Loss,108,-12.0,12.0,0,0,0,0,0,0,1,0,0.0,0,Aware,Feb 2022,2022,5
2021-22,2022-02-05,53,NYK @ LAL,AWAY,LAL,L,Loss,115,-7.0,7.0,0,0,1,0,0,1,1,0,0.0,0,Aware,Feb 2022,2022,5
