GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,SEASON
Players,202692,Alec Burks,Alec,1610612752,NYK,30.0,41,15,26,0.366,113.76833333333332,13,43,0.302,7,20,0.35,8,10,0.8,1,13,14,15,4,2,2,2,15,12,41,-110,88.3,1,0,85.0,2,68,495,363,49,88,52,300,34,37,115,102,112,139,207,73,103,23,75,79,54,392,475,59,88,496,75,133,28,76,1,2021-22
Players,1629629,Cam Reddish,Cam,1610612752,NYK,22.0,9,3,6,0.333,16.39666666666667,2,5,0.4,1,2,0.5,1,2,0.5,2,1,3,1,0,0,0,0,2,1,6,-18,11.1,0,0,11.0,279,304,239,378,302,256,271,223,166,245,37,267,231,260,142,325,277,223,275,247,199,1,168,271,272,418,294,206,28,289,2,2021-22
Players,1628422,Damyean Dotson,Damyean,1610612752,NYK,28.0,1,0,1,0.0,1.75,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3,0.0,0,0,0.0,438,448,38,448,445,364,419,364,252,333,252,305,316,305,290,380,406,307,275,247,199,1,1,344,382,274,438,206,28,439,1,2021-22
Players,201565,Derrick Rose,Derrick,1610612752,NYK,33.0,12,3,9,0.25,31.165,6,14,0.429,1,5,0.2,0,0,0.0,2,2,4,7,1,0,1,2,3,0,13,-28,30.3,0,0,27.0,244,304,298,421,235,156,159,192,166,177,204,305,316,305,142,275,248,71,187,247,106,392,209,344,198,463,195,206,28,202,1,2021-22
Players,203095,Evan Fournier,Evan,1610612752,NYK,29.0,27,12,15,0.444,90.88,15,43,0.349,11,31,0.355,4,5,0.8,0,12,12,8,6,1,2,2,9,2,45,-18,74.4,0,0,82.0,93,113,420,290,92,79,52,264,6,10,113,151,165,139,290,83,127,67,40,139,54,392,384,223,82,418,96,206,28,82,1,2021-22
Players,1630193,Immanuel Quickley,Immanuel,1610612752,NYK,23.0,30,12,18,0.4,79.79666666666667,5,23,0.217,2,13,0.154,5,5,1.0,3,6,9,6,1,2,0,0,9,4,17,-37,41.8,1,1,38.0,63,113,467,332,116,175,117,338,129,85,238,138,165,1,102,158,154,88,187,79,199,1,384,159,177,479,166,133,14,169,1,2021-22
Players,1630579,Jericho Sims,Jericho,1610612752,NYK,23.0,4,2,2,0.5,12.185,0,0,0.0,0,0,0.0,0,0,0.0,2,3,5,0,1,0,0,0,0,0,0,1,5.0,1,0,5.0,369,339,100,206,328,364,419,364,252,333,252,305,316,305,142,236,220,307,187,247,199,1,1,344,382,207,368,133,28,349,1,2021-22
Players,203944,Julius Randle,Julius,1610612752,NYK,27.0,37,15,22,0.405,130.42,18,48,0.375,3,15,0.2,23,34,0.676,7,26,33,14,10,1,2,2,20,27,62,-53,121.6,20,1,118.0,14,68,488,331,18,56,42,241,98,64,204,23,14,218,32,11,13,29,13,139,54,392,493,8,42,490,41,11,14,39,1,2021-22
Players,202689,Kemba Walker,Kemba,1610612752,NYK,32.0,11,6,5,0.545,27.838333333333335,2,14,0.143,2,7,0.286,2,2,1.0,2,5,7,5,2,0,0,2,5,6,8,-11,21.9,0,0,22.0,254,231,211,186,252,256,159,356,129,137,161,208,231,1,142,184,179,104,138,247,199,392,286,129,246,369,240,206,28,229,1,2021-22
Players,1630540,Miles McBride,Miles,1610612752,NYK,21.0,3,2,1,0.667,4.966666666666667,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,0,0,11,2.7,0,0,2.0,383,339,38,74,400,364,364,364,252,276,252,305,316,305,290,325,348,223,275,247,199,1,1,344,382,102,402,206,28,399,1,2021-22
Players,1629011,Mitchell Robinson,Mitchell,1610612752,NYK,24.0,26,11,15,0.423,83.53333333333333,8,12,0.667,0,0,0.0,3,6,0.5,15,16,31,1,1,1,3,2,12,3,19,-43,68.7,11,0,59.0,101,136,420,317,110,130,176,59,252,333,252,174,146,260,6,52,19,223,187,139,33,392,437,185,159,486,114,35,28,123,1,2021-22
Players,203457,Nerlens Noel,Nerlens,1610612752,NYK,28.0,4,2,2,0.5,10.563333333333333,0,0,0.0,0,0,0.0,0,0,0.0,1,4,5,1,0,0,1,0,1,0,0,4,10.5,0,0,8.0,369,339,100,206,337,364,419,364,252,333,252,305,316,305,207,207,220,223,275,247,106,1,110,344,382,168,301,206,28,316,1,2021-22
Players,1630167,Obi Toppin,Obi,1610612752,NYK,24.0,14,5,9,0.357,19.911666666666665,2,8,0.25,0,3,0.0,0,0,0.0,1,6,7,0,0,0,1,1,4,0,4,-27,15.4,2,0,13.0,224,247,298,371,289,256,227,325,252,216,252,305,316,305,207,158,179,307,275,247,106,298,255,344,302,460,269,96,28,276,1,2021-22
Players,1629656,Quentin Grimes,Quentin,1610612752,NYK,22.0,9,4,5,0.444,30.86,3,8,0.375,2,6,0.333,0,0,0.0,2,3,5,0,0,0,0,0,4,2,8,-28,14.0,0,0,15.0,279,275,211,290,237,228,227,241,129,153,118,305,316,305,142,236,220,307,275,247,199,1,255,223,246,463,277,206,28,264,1,2021-22
Players,1629628,RJ Barrett,RJ,1610612752,NYK,22.0,31,14,17,0.452,102.13833333333334,23,53,0.434,8,17,0.471,15,19,0.789,1,13,14,5,5,1,0,7,7,12,69,-28,91.3,2,0,98.0,55,82,454,285,69,34,29,188,24,52,65,47,46,155,207,73,103,104,58,139,199,489,346,59,32,463,69,96,28,54,1,2021-22
Players,1627853,Ryan Arcidiacono,Ryan,1610612752,NYK,28.0,1,1,0,1.0,0.35,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0.0,438,375,1,1,474,364,419,364,252,333,252,305,316,305,290,380,406,307,275,247,199,1,1,344,382,190,438,206,28,439,1,2021-22
Players,201959,Taj Gibson,Taj,1610612752,NYK,37.0,14,7,7,0.5,28.446666666666665,2,3,0.667,0,0,0.0,0,0,0.0,1,2,3,1,1,1,1,0,5,2,4,-4,14.1,0,0,12.0,224,211,255,206,249,256,311,59,252,333,252,305,316,305,207,275,277,223,187,139,106,1,286,223,302,290,275,206,28,281,1,2021-22
Players,1627782,Wayne Selden,Wayne,1610612752,NYK,27.0,1,0,1,0.0,0.7616666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2,0.0,0,0,0.0,438,448,38,448,461,364,419,364,252,333,252,305,316,305,290,380,406,307,275,247,199,1,1,344,382,250,438,206,28,439,1,2021-22
Players,201565,Derrick Rose,Derrick,1610612752,NYK,34.0,1,0,1,0.0,0.075,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0.0,425,418,18,418,443,361,396,361,257,325,257,295,305,295,288,373,388,297,281,250,204,1,1,329,382,173,413,205,27,413,1,2022-23
Players,203095,Evan Fournier,Evan,1610612752,NYK,30.0,8,4,4,0.5,10.94,1,3,0.333,1,3,0.333,1,2,0.5,0,0,0,1,0,0,0,0,2,1,4,-4,5.5,0,0,6.0,290,278,136,188,330,295,302,286,179,208,131,250,235,245,288,373,388,238,281,250,204,1,132,266,302,260,348,205,27,339,1,2022-23
Players,1630193,Immanuel Quickley,Immanuel,1610612752,NYK,24.0,34,19,15,0.559,114.86666666666666,8,33,0.242,2,19,0.105,3,4,0.75,2,6,8,9,3,3,0,1,9,4,21,-53,50.1,1,0,46.0,63,40,344,145,79,147,89,344,136,54,254,186,201,156,148,175,182,62,116,54,204,243,319,169,163,443,154,148,27,162,1,2022-23
Players,1628392,Isaiah Hartenstein,Isaiah,1610612752,NYK,25.0,20,11,9,0.55,53.01166666666666,6,9,0.667,0,1,0.0,1,1,1.0,5,6,11,0,1,2,1,1,11,1,13,-34,34.2,2,0,30.0,181,158,258,152,180,173,212,53,257,275,257,250,285,1,74,175,133,297,199,90,123,243,356,266,205,422,198,108,27,204,1,2022-23
Players,1628973,Jalen Brunson,Jalen,1610612752,NYK,26.0,35,19,16,0.543,153.095,47,91,0.516,6,16,0.375,39,47,0.83,2,9,11,17,5,1,3,4,17,36,139,-8,184.7,3,0,181.0,55,40,363,159,21,4,10,114,51,67,111,10,12,121,148,126,133,22,78,145,45,406,419,6,4,300,15,94,27,12,1,2022-23
Players,1630579,Jericho Sims,Jericho,1610612752,NYK,24.0,9,5,4,0.556,29.74,4,4,1.0,0,0,0.0,1,1,1.0,4,4,8,0,1,0,3,0,4,1,9,-14,26.6,0,0,23.0,277,259,136,147,245,207,279,1,257,325,257,250,285,1,88,219,182,297,199,250,45,1,209,266,238,349,223,205,27,223,1,2022-23
Players,1628404,Josh Hart,Josh,1610612752,NYK,28.0,40,18,22,0.45,165.585,9,21,0.429,3,5,0.6,10,14,0.714,8,28,36,9,7,4,4,2,28,13,31,-42,104.7,5,0,95.0,17,53,432,270,7,133,130,211,104,171,30,92,95,183,33,9,15,62,41,35,28,340,449,73,124,432,61,62,27,72,2,2022-23
Players,203944,Julius Randle,Julius,1610612752,NYK,28.0,42,22,20,0.524,185.21333333333337,25,74,0.338,8,29,0.276,44,55,0.8,14,42,56,18,21,6,3,8,28,40,102,-57,202.2,23,0,202.0,10,16,415,177,1,32,21,285,28,21,179,6,6,132,9,2,1,19,1,11,45,444,449,3,18,447,9,7,27,8,1,2022-23
Players,1630540,Miles McBride,Miles,1610612752,NYK,22.0,5,3,2,0.6,6.766666666666667,1,4,0.25,1,3,0.333,3,4,0.75,0,0,0,0,0,0,0,1,1,2,6,-4,6.0,0,0,7.0,338,304,72,113,365,295,279,331,179,208,131,186,201,156,288,373,388,297,281,250,204,243,77,232,269,260,342,205,27,328,1,2022-23
Players,1629011,Mitchell Robinson,Mitchell,1610612752,NYK,25.0,22,10,12,0.455,101.37,8,14,0.571,0,0,0.0,4,12,0.333,17,18,35,3,1,5,6,2,12,9,20,-38,98.5,6,0,80.0,169,179,300,263,104,147,167,91,257,325,257,165,107,287,2,46,17,155,199,20,9,340,373,103,167,428,75,56,27,98,1,2022-23
Players,1630167,Obi Toppin,Obi,1610612752,NYK,25.0,6,5,1,0.833,13.253333333333334,3,5,0.6,1,3,0.333,0,0,0.0,0,0,0,0,0,0,0,0,3,0,7,13,7.0,0,0,8.0,322,259,18,23,315,227,261,74,179,208,131,295,305,295,288,373,388,297,281,250,204,1,179,329,255,90,335,205,27,315,1,2022-23
